ingredient,adverse_event,count,IC025
FREE PLANT STEROLS,GASTRIC HAEMORRHAGE,8,1.30801536804047
Boron,UROGENITAL HAEMORRHAGE,7,1.30378134321278
TOTAL CARBOHYDRATES,HEPATIC CIRRHOSIS,6,1.29939756796238
Chromium,BLOOD URINE PRESENT,180,1.27628829362012
FREE PLANT STEROLS,PENILE HAEMORRHAGE,6,1.27447430529442
D-GLUCURONOLACTONE,DEATH,6,1.2732870502706
Citicoline,CONVULSION,8,1.26823991405027
CALCIUM-POTASSIUM SALT OF (-)-HYDROXYCITRIC ACID,SOMNOLENCE,6,1.24422877649571
CALCIUM/POTASSIUM SALT OF HYDROXYCITRIC ACID,SOMNOLENCE,6,1.24132613160831
PLECTRANTHUS BARBATUS,EMOTIONAL DISTRESS,6,1.23354382519742
FREE PLANT STEROLS,RECTAL HAEMORRHAGE,18,1.23303371382538
Creatine,BLOOD CREATINE PHOSPHOKINASE INCREASED,6,1.22493512876653
FREE PLANT STEROLS,CEREBROVASCULAR ACCIDENT,31,1.2214359508288
Boron,HOSPITALISATION,23,1.22071978065002
Silicon,PENILE HAEMORRHAGE,6,1.21637116007228
Molybdenum,PROSTATOMEGALY,22,1.20411072287197
Silicon,GASTRIC HAEMORRHAGE,8,1.20357773323935
Zinc,BLOOD URINE PRESENT,192,1.19280990653918
Molybdenum,HAEMATOSPERMIA,10,1.18924382295831
CALCIUM/POTASSIUM SALT OF HYDROXYCITRIC ACID,ALANINE AMINOTRANSFERASE INCREASED,9,1.18239241704665
Caffeine,BLOOD CREATINE PHOSPHOKINASE INCREASED,16,1.18213462593761
Rhodiola,BLOOD CREATINE PHOSPHOKINASE INCREASED,8,1.18156206254284
CALCIUM-POTASSIUM SALT OF (-)-HYDROXYCITRIC ACID,ALANINE AMINOTRANSFERASE INCREASED,9,1.17614208250389
Malic Acid,MYOCARDIAL INFARCTION,7,1.17554980715943
L-Arginine,BLOOD CREATINE PHOSPHOKINASE INCREASED,9,1.14085307083507
Boron,PENILE HAEMORRHAGE,6,1.13821490262812
Selenium,URINARY RETENTION,35,1.1167431579073
L-Citrulline,TACHYCARDIA,9,1.11415841596773
Phenylalanine,DEATH,6,1.10857658511384
CALCAREA MURIATICA,CHOKING,92,1.09589164621676
Boron,GASTRIC HAEMORRHAGE,8,1.08334527082319
Molybdenum,HAEMORRHAGE,76,1.06579188977807
FREE PLANT STEROLS,URINARY TRACT INFECTION,16,1.06545930732983
N-(AMINOIMINOMETHYL)-N-METHYLGLYCINE MONOHYDRATE,BLOOD CREATINE PHOSPHOKINASE INCREASED,6,1.06319512379548
L-Arginine,BLOOD CREATININE INCREASED,8,1.06137244371436
Cabbage,DIARRHOEA,37,1.05804517561326
Silicon,RECTAL HAEMORRHAGE,18,1.0576170658924
Tyrosine,DEATH,9,1.05374820225364
Caffeine,DEATH,13,1.05179867801071
Citicoline,MYOCARDIAL INFARCTION,6,1.05166741285749
Silicon,DYSURIA,19,1.04118899517982
PIPER NIGRUM,ASPARTATE AMINOTRANSFERASE INCREASED,17,1.03618117148383
Silicon,CEREBROVASCULAR ACCIDENT,31,1.03409670507382
Muira Puama,EMOTIONAL DISTRESS,6,1.0253848068991
Taurine,DEATH,8,1.02480702320047
Creatine,RHABDOMYOLYSIS,5,1.02283103346849
Molybdenum,HAEMATOCHEZIA,74,1.01799555830968
Chromium,URINARY RETENTION,34,1.01394363107473
Caffeine,METABOLIC ACIDOSIS,5,1.01300158253347
"(ALL-E)-3,7-DIMETHYL-9-(2,6,6-TRIMETHYL-1-CYCLOHEXEN-1-YL)-2,4,6,8-NONATETRAEN-1-OL PALMITATE",ALOPECIA,11,0.992027889401836
Silicon,URINARY TRACT INFECTION,17,0.969130284492375
Methionine,HAIR GROWTH ABNORMAL,8,0.965702776026458
Potassium,HEPATOCELLULAR INJURY,9,0.965103165429634
Malic Acid,CONVULSION,7,0.959020085908018
PIPER NIGRUM,ALANINE AMINOTRANSFERASE INCREASED,16,0.95132058577894
HYDROXYTEA   <P CLASS='INDENT01B' DATA-INGID='16160'>GREEN TEA EXTRACT(STANDARDIZED FOR 5% GINGEROLS);</P><P CLASS='INDENT01B' DATA-INGID='8782'>RASPBERRY KETONE;</P><P CLASS='INDENT01B' DATA-INGID='18405'>QUERCETIN DIHYDRATE (AS FAVA D'ANTA);</P>,CHROMATURIA,14,0.94221209133748
Selenium,PROSTATOMEGALY,24,0.941436376568213
HYDROXAGEN PLUS   <P CLASS='INDENT01B' DATA-INGID='15985'>GARCINIA CAMBOGIA EXTRACT(STANDARDIZED FOR 5% ROSAVINS);</P>,CHROMATURIA,14,0.939158041919425
Theanine,EMOTIONAL DISTRESS,6,0.936830461694743
L-Arginine,RHABDOMYOLYSIS,7,0.936411256738851
Terminalia,URTICARIA,7,0.934417172281969
Caffeine,HEART RATE ABNORMAL,8,0.931152510102115
HYDROXYTEA   <P CLASS='INDENT01B' DATA-INGID='16160'>GREEN TEA EXTRACT(STANDARDIZED FOR 5% GINGEROLS);</P><P CLASS='INDENT01B' DATA-INGID='8782'>RASPBERRY KETONE;</P><P CLASS='INDENT01B' DATA-INGID='18405'>QUERCETIN DIHYDRATE (AS FAVA D'ANTA);</P>,LIVER FUNCTION TEST ABNORMAL,18,0.926648751047477
HYDROXAGEN PLUS   <P CLASS='INDENT01B' DATA-INGID='15985'>GARCINIA CAMBOGIA EXTRACT(STANDARDIZED FOR 5% ROSAVINS);</P>,JAUNDICE,21,0.924585981227487
HYDROXYTEA   <P CLASS='INDENT01B' DATA-INGID='16160'>GREEN TEA EXTRACT(STANDARDIZED FOR 5% GINGEROLS);</P><P CLASS='INDENT01B' DATA-INGID='8782'>RASPBERRY KETONE;</P><P CLASS='INDENT01B' DATA-INGID='18405'>QUERCETIN DIHYDRATE (AS FAVA D'ANTA);</P>,JAUNDICE,21,0.924017090098408
HYDROXAGEN PLUS   <P CLASS='INDENT01B' DATA-INGID='15985'>GARCINIA CAMBOGIA EXTRACT(STANDARDIZED FOR 5% ROSAVINS);</P>,LIVER FUNCTION TEST ABNORMAL,18,0.922329601174084
Molybdenum,UROGENITAL HAEMORRHAGE,7,0.920965952450381
BENTONITE,DEHYDRATION,6,0.912723922218187
L-Citrulline,BLOOD CREATINE PHOSPHOKINASE INCREASED,6,0.910534746456047
Silicon,URINARY HESITATION,9,0.898438557219006
SHILAJIT,URTICARIA,6,0.896258330631283
PIPER NIGRUM,EMOTIONAL DISTRESS,6,0.89572089485403
FREE PLANT STEROLS,PROSTATE CANCER,8,0.890227137870331
Selenium,HAEMATOSPERMIA,10,0.889198824494424
Boron,RECTAL HAEMORRHAGE,18,0.888017014857262
Caffeine,RHABDOMYOLYSIS,11,0.884475058019672
FREE PLANT STEROLS,URINARY HESITATION,8,0.881251963616338
Horny Goat Weed,CHEST PAIN,10,0.879904011120287
Irvingia gabonensis,ASPARTATE AMINOTRANSFERASE INCREASED,14,0.875614961034032
Zinc,PROSTATOMEGALY,27,0.874814733823913
Zinc,URINARY RETENTION,34,0.864039871898897
L-Citrulline,CHEST PAIN,15,0.863581262187125
Cocoa,URTICARIA,12,0.861367338738835
Green Tea,DEHYDRATION,14,0.855327401563033
Boron,CEREBROVASCULAR ACCIDENT,31,0.853990915336961
GIANT PACIFIC OYSTER,ALOPECIA,5,0.852802756901596
CALCIUM/POTASSIUM SALT OF HYDROXYCITRIC ACID,DRUG-INDUCED LIVER INJURY,4,0.848424433266785
TOTAL CARBOHYDRATE,POISONING,7,0.845821182638019
D-GLUCURONOLACTONE,MYOCARDIAL INFARCTION,6,0.840411822143997
MALPIGHIA PUNICIFOLIA LINNE,ALOPECIA,5,0.837711491200822
WITHANIA SOMNIFERA,URTICARIA,11,0.835680067471582
Chromium,HAEMATOSPERMIA,10,0.834086878135005
CALCIUM-POTASSIUM SALT OF (-)-HYDROXYCITRIC ACID,DRUG-INDUCED LIVER INJURY,4,0.830964237292029
Caffeine,CARDIAC DISORDER,13,0.829181309054977
Devil's Claw,EMOTIONAL DISTRESS,6,0.82805927695423
Hesperidin,ALOPECIA,22,0.827699443390603
Chromium,PROSTATOMEGALY,23,0.825605764422863
Selenium,HAEMORRHAGE,87,0.816530220788206
FREE PLANT STEROLS,RENAL DISORDER,11,0.803354148464759
CALORIES,HEPATIC CIRRHOSIS,6,0.802348257178833
Wheat Bran,BACTERIAL INFECTION,5,0.802089598072356
N-(AMINOIMINOMETHYL)-N-METHYLGLYCINE,BLOOD CREATINE PHOSPHOKINASE INCREASED,4,0.799793242019219
CALCAREA MURIATICA,FOREIGN BODY TRAUMA,39,0.796791821469502
Boron,URINARY TRACT INFECTION,17,0.791688790710035
Boron,DYSURIA,18,0.789006932156558
Silicon,RENAL FAILURE,15,0.780509644107418
FREE PLANT STEROLS,PROSTATIC SPECIFIC ANTIGEN INCREASED,6,0.780209153480398
Green Coffee,EMOTIONAL DISTRESS,6,0.772298211699624
Molybdenum,PENILE HAEMORRHAGE,6,0.771232553334972
Sweet Orange,HAEMOGLOBIN INCREASED,5,0.770831603099479
Iron,PREMATURE BABY,8,0.769679843136353
(BETA-HYDROXYETHYL)TRIMETHYLAMMONIUM,WOUND,8,0.764220455898653
Boron,RENAL FAILURE,17,0.762837669574148
Schisandra,URTICARIA,10,0.762716929773866
Tomato,DIARRHOEA,23,0.7577629811138
Boron,URINARY HESITATION,9,0.756928926041047
Apple Cider Vinegar,DEHYDRATION,7,0.752406678003841
Capsicum,BLOOD CREATINE PHOSPHOKINASE INCREASED,8,0.751678585822339
FREE PLANT STEROLS,MYOCARDIAL INFARCTION,18,0.749277515120975
PLECTRANTHUS BARBATUS,INJURY,4,0.748841434488806
Silicon,PROSTATE CANCER,8,0.747750600559651
Methionine,ALOPECIA,47,0.747224912387409
Selenium,HAEMATOCHEZIA,83,0.745760735282779
Cassia Cinnamon,EMOTIONAL DISTRESS,6,0.733441618430243
Methionine,WOUND,6,0.73172906386292
FREE PLANT STEROLS,BLADDER DISORDER,5,0.727126142470914
CALCAREA MURIATICA,DYSPHAGIA,50,0.723940733317774
Taurine,CONVULSION,15,0.721838508460663
CINNAMOMUM BURMANNII,BLOOD CREATINE PHOSPHOKINASE INCREASED,4,0.721721042491313
Zinc,HAEMATOSPERMIA,10,0.71910287862031
APIS MELLIFERA,URTICARIA,8,0.710160115043844
Tomato,ABDOMINAL PAIN,15,0.70833254998165
Cocoa,DEHYDRATION,10,0.707154368275331
PLECTRANTHUS BARBATUS,ASPARTATE AMINOTRANSFERASE INCREASED,8,0.703461860021825
Borage,ALOPECIA,14,0.700848099070644
(BETA-HYDROXYETHYL)TRIMETHYLAMMONIUM,HAIR GROWTH ABNORMAL,9,0.700559092957986
Caffeine,CONVULSION,28,0.700189784740374
Silicon,MYOCARDIAL INFARCTION,20,0.699192962416332
Irvingia gabonensis,SOMNOLENCE,6,0.697019107314306
Pantothenic Acid,BLOOD URINE PRESENT,202,0.696507252368609
Molybdenum,PROSTATIC DISORDER,9,0.696187534326575
FREE PLANT STEROLS,THROMBOSIS,11,0.693658393805503
Aloe,GASTRITIS,7,0.691782694382301
L-Arginine,TACHYCARDIA,9,0.690941884938661
PLECTRANTHUS BARBATUS,ALANINE AMINOTRANSFERASE INCREASED,8,0.689847263275352
L-Citrulline,BLOOD CREATININE INCREASED,5,0.688711744125618
Phenylalanine,CONVULSION,8,0.686486498423898
CALCIUM/POTASSIUM SALT OF HYDROXYCITRIC ACID,IRRITABILITY,4,0.68334570632829
Ribose,DEHYDRATION,6,0.682327092348067
Molybdenum,HOSPITALISATION,26,0.678025692717655
Hesperidin,SKIN EXFOLIATION,5,0.67700275995662
Chromium,HAEMATOCHEZIA,83,0.675682009033466
Selenium,UROGENITAL HAEMORRHAGE,7,0.674389843165779
HYDROXYTEA   <P CLASS='INDENT01B' DATA-INGID='16160'>GREEN TEA EXTRACT(STANDARDIZED FOR 5% GINGEROLS);</P><P CLASS='INDENT01B' DATA-INGID='8782'>RASPBERRY KETONE;</P><P CLASS='INDENT01B' DATA-INGID='18405'>QUERCETIN DIHYDRATE (AS FAVA D'ANTA);</P>,HEPATIC NECROSIS,5,0.67026997568121
Yucca,URTICARIA,7,0.667815097775166
FREE PLANT STEROLS,RENAL FAILURE,12,0.66778112382654
PIPER NIGRUM,BLOOD CREATINE PHOSPHOKINASE INCREASED,6,0.66662288300617
"(R)-1,2-DITHIOLANE-3-PENTANOIC ACID",URTICARIA,7,0.66617433388121
Irvingia gabonensis,ALANINE AMINOTRANSFERASE INCREASED,12,0.664774106919102
HYDROXAGEN PLUS   <P CLASS='INDENT01B' DATA-INGID='15985'>GARCINIA CAMBOGIA EXTRACT(STANDARDIZED FOR 5% ROSAVINS);</P>,RENAL DISORDER,7,0.662560595347802
CALCIUM-POTASSIUM SALT OF (-)-HYDROXYCITRIC ACID,IRRITABILITY,4,0.660281689712076
HYDROXAGEN PLUS   <P CLASS='INDENT01B' DATA-INGID='15985'>GARCINIA CAMBOGIA EXTRACT(STANDARDIZED FOR 5% ROSAVINS);</P>,HEPATIC NECROSIS,5,0.659155555945542
HYDROXAGEN PLUS   <P CLASS='INDENT01B' DATA-INGID='15985'>GARCINIA CAMBOGIA EXTRACT(STANDARDIZED FOR 5% ROSAVINS);</P>,FAECES PALE,5,0.658976274305893
Dandelion,HEPATIC FAILURE,5,0.655511250995468
FREE PLANT STEROLS,CARDIAC DISORDER,10,0.655501899252828
Silicon,PROSTATIC SPECIFIC ANTIGEN INCREASED,6,0.655150377808153
Betaine Hydrochloride,URTICARIA,10,0.653327303109026
Irvingia gabonensis,CHOLECYSTITIS,4,0.652391258881242
Chitosan,DEHYDRATION,19,0.651541827800782
GREEN TEA LEAF EXTRACT,PARANOIA,4,0.651022011799563
Silicon,THROMBOSIS,12,0.650941491314975
HYDROXAGEN PLUS   <P CLASS='INDENT01B' DATA-INGID='15985'>GARCINIA CAMBOGIA EXTRACT(STANDARDIZED FOR 5% ROSAVINS);</P>,RHABDOMYOLYSIS,6,0.649998606003888
HYDROXYTEA   <P CLASS='INDENT01B' DATA-INGID='16160'>GREEN TEA EXTRACT(STANDARDIZED FOR 5% GINGEROLS);</P><P CLASS='INDENT01B' DATA-INGID='8782'>RASPBERRY KETONE;</P><P CLASS='INDENT01B' DATA-INGID='18405'>QUERCETIN DIHYDRATE (AS FAVA D'ANTA);</P>,FAECES PALE,5,0.649993686837693
L-Arginine,CARDIAC ARREST,5,0.648797370421412
Garcinia,CHROMATURIA,10,0.64709337274511
HYDROXYTEA   <P CLASS='INDENT01B' DATA-INGID='16160'>GREEN TEA EXTRACT(STANDARDIZED FOR 5% GINGEROLS);</P><P CLASS='INDENT01B' DATA-INGID='8782'>RASPBERRY KETONE;</P><P CLASS='INDENT01B' DATA-INGID='18405'>QUERCETIN DIHYDRATE (AS FAVA D'ANTA);</P>,RENAL DISORDER,7,0.64681080967666
CORIANDRUM SATIVUM,DIARRHOEA,6,0.64652488519429
Creatine,BLOOD CREATININE INCREASED,4,0.644546684244452
Yohimbe,CHEST PAIN,9,0.644214371856534
Silicon,RENAL DISORDER,11,0.64143958954043
HYDROXYTEA   <P CLASS='INDENT01B' DATA-INGID='16160'>GREEN TEA EXTRACT(STANDARDIZED FOR 5% GINGEROLS);</P><P CLASS='INDENT01B' DATA-INGID='8782'>RASPBERRY KETONE;</P><P CLASS='INDENT01B' DATA-INGID='18405'>QUERCETIN DIHYDRATE (AS FAVA D'ANTA);</P>,RHABDOMYOLYSIS,6,0.641311608478917
PIPER NIGRUM,SOMNOLENCE,6,0.640730333979026
Cranberry,DYSPHONIA,6,0.636397160277956
Zinc,HAEMORRHAGE,90,0.635650319974791
BIFIDOBACTERIUM ANIMALIS SUBSP. LACTIS,ALOPECIA,33,0.635025170828019
TOTAL CARBOHYDRATE,BACTERIAL INFECTION,5,0.632735878171019
Tyrosine,EMOTIONAL DISTRESS,6,0.630034228814895
"1-[(2E,4E)-5-(1,3-BENZODIOXOL-5-YL)-1-OXO-2,4-PENTADIENYL]PIPERIDINE",URTICARIA,7,0.629933191551735
Silicon,BLADDER DISORDER,5,0.629552898925357
Capsicum,EMOTIONAL DISTRESS,6,0.622609032933446
Tyrosine,CONVULSION,16,0.621960727225881
Garcinia,ASPARTATE AMINOTRANSFERASE INCREASED,13,0.618504898619788
Cassia Cinnamon,MUSCLE SPASMS,12,0.617155400375832
Chromium,UROGENITAL HAEMORRHAGE,7,0.616864774648694
FREE PLANT STEROLS,BLOOD GLUCOSE INCREASED,13,0.614202380601183
Chromium,HEPATOCELLULAR INJURY,10,0.613007377509643
Chromium,HAEMORRHAGE,77,0.610087946023651
LACTOBACILLUS PARACASEI,ALOPECIA,33,0.60936768842675
Tomato,FEELING OF BODY TEMPERATURE CHANGE,4,0.609106880987198
CALCAREA MURIATICA,THROAT IRRITATION,18,0.607840922511621
HYDROXYTEA   <P CLASS='INDENT01B' DATA-INGID='16160'>GREEN TEA EXTRACT(STANDARDIZED FOR 5% GINGEROLS);</P><P CLASS='INDENT01B' DATA-INGID='8782'>RASPBERRY KETONE;</P><P CLASS='INDENT01B' DATA-INGID='18405'>QUERCETIN DIHYDRATE (AS FAVA D'ANTA);</P>,BLOOD ALKALINE PHOSPHATASE INCREASED,9,0.606159996616759
HYDROXAGEN PLUS   <P CLASS='INDENT01B' DATA-INGID='15985'>GARCINIA CAMBOGIA EXTRACT(STANDARDIZED FOR 5% ROSAVINS);</P>,FATIGUE,29,0.605553237604411
HYDROXYTEA   <P CLASS='INDENT01B' DATA-INGID='16160'>GREEN TEA EXTRACT(STANDARDIZED FOR 5% GINGEROLS);</P><P CLASS='INDENT01B' DATA-INGID='8782'>RASPBERRY KETONE;</P><P CLASS='INDENT01B' DATA-INGID='18405'>QUERCETIN DIHYDRATE (AS FAVA D'ANTA);</P>,FATIGUE,29,0.605310715555253
Molybdenum,RECTAL HAEMORRHAGE,25,0.601802928925496
HYDROXAGEN PLUS   <P CLASS='INDENT01B' DATA-INGID='15985'>GARCINIA CAMBOGIA EXTRACT(STANDARDIZED FOR 5% ROSAVINS);</P>,BLOOD ALKALINE PHOSPHATASE INCREASED,9,0.600481817563797
Branched-chain Amino Acids,TACHYCARDIA,6,0.597461161798163
Boron,PROSTATE CANCER,8,0.597370457573918
HYDROXYTEA   <P CLASS='INDENT01B' DATA-INGID='16160'>GREEN TEA EXTRACT(STANDARDIZED FOR 5% GINGEROLS);</P><P CLASS='INDENT01B' DATA-INGID='8782'>RASPBERRY KETONE;</P><P CLASS='INDENT01B' DATA-INGID='18405'>QUERCETIN DIHYDRATE (AS FAVA D'ANTA);</P>,BLOOD BILIRUBIN INCREASED,13,0.596034749474811
CALCAREA MURIATICA,REMOVAL OF FOREIGN BODY FROM THROAT,9,0.595747530700703
Vitamin D,HIP FRACTURE,6,0.595726354728033
D-GLUCURONOLACTONE,CONVULSION,6,0.594063844967874
CAPSICUM ANNUUM VAR. ANNUUM,URTICARIA,7,0.592087501293342
Muira Puama,INJURY,4,0.592082170432922
Biotin,ALOPECIA,299,0.591404758261917
HYDROXAGEN PLUS   <P CLASS='INDENT01B' DATA-INGID='15985'>GARCINIA CAMBOGIA EXTRACT(STANDARDIZED FOR 5% ROSAVINS);</P>,BLOOD BILIRUBIN INCREASED,13,0.590143544789683
BIFIDOBACTERIUM LONGUM SUBSP. LONGUM,ALOPECIA,33,0.58942078580542
Zinc,HAEMATOCHEZIA,88,0.589094704251218
Borage,TRICHORRHEXIS,5,0.588699574709751
Alpha-Lipoic Acid,HEPATIC ENZYME INCREASED,22,0.587407057310593
Strawberry,DIARRHOEA,7,0.581159010171587
NARINGIN,HYPERHIDROSIS,4,0.579813932576107
Irvingia gabonensis,DRUG-INDUCED LIVER INJURY,4,0.577429128331268
FISH OIL CONCENTRATE,CHOKING,4,0.577212242338245
White Mulberry,HEPATIC ENZYME INCREASED,7,0.577028199698444
Corn Silk,VOMITING,6,0.574437330540703
Vitamin D,BLOOD URINE PRESENT,199,0.574356119953123
OCIMUM BASILICUM,DIARRHOEA,4,0.573125826676234
Garcinia,SOMNOLENCE,6,0.571736236526967
Boron,THROMBOSIS,13,0.571192475610233
"(ALL-E)-3,7-DIMETHYL-9-(2,6,6-TRIMETHYL-1-CYCLOHEXEN-1-YL)-2,4,6,8-NONATETRAEN-1-OL PALMITATE",TRICHORRHEXIS,4,0.570127470515477
Molybdenum,GASTRIC HAEMORRHAGE,8,0.569789071198565
Caffeine,CARDIAC ARREST,7,0.568924380008731
Phenylalanine,MYOCARDIAL INFARCTION,6,0.564167745854893
L-Citrulline,CARDIAC ARREST,4,0.562413221464178
Oolong Tea,PANCREATITIS,10,0.560281635634224
FREE PLANT STEROLS,INFECTION,9,0.555521344940745
PIPER NIGRUM,DRUG-INDUCED LIVER INJURY,4,0.554618529609557
SODIUM,BACTERIAL INFECTION,5,0.554420143035442
BIFIDOBACTERIUM BREVE,ALOPECIA,33,0.553808326501613
Molybdenum,DYSURIA,26,0.552451428094259
Alfalfa,DEHYDRATION,14,0.54654649272599
Selenium,PENILE HAEMORRHAGE,6,0.5453372939597
LACTOBACILLUS DELBRUECKII SUBSP. BULGARICUS,ALOPECIA,16,0.544649308962958
Maca,URTICARIA,10,0.543977852035716
Chromium,HOSPITALISATION,34,0.540673540508952
Muira Puama,CHEST PAIN,13,0.540462307135101
LACTOBACILLUS CASEI,ALOPECIA,33,0.540435655960366
WITHANIA SOMNIFERA,NAUSEA,18,0.536574266054688
N-(AMINOIMINOMETHYL)-N-METHYLGLYCINE MONOHYDRATE,RHABDOMYOLYSIS,4,0.535320217847939
(BETA-HYDROXYETHYL)TRIMETHYLAMMONIUM,ALOPECIA,65,0.534429879932295
Boron,BLADDER DISORDER,5,0.532845295640819
Silicon,INFECTION,10,0.532558480543418
Potassium,HEPATIC FUNCTION ABNORMAL,13,0.529203878379608
ROSEMARY EXTRACT,CEREBROVASCULAR ACCIDENT,4,0.524219076135944
Green Coffee,CHROMATURIA,10,0.524037010208096
CHLORIDE (ION),VOMITING,8,0.523670087084804
Theanine,ASPARTATE AMINOTRANSFERASE INCREASED,11,0.522449211030896
Vitamin D,CALCIUM IONISED INCREASED,4,0.522265056652704
Boron,PROSTATIC SPECIFIC ANTIGEN INCREASED,6,0.521324730158878
Fructo-Oligosaccharides,ALOPECIA,16,0.518115195708025
Tyrosine,RHABDOMYOLYSIS,6,0.518055900204237
Policosanol,URTICARIA,8,0.516269981734732
Capsicum,RHABDOMYOLYSIS,6,0.515676204024641
Theanine,INJURY,4,0.514870865815164
Garcinia,ALANINE AMINOTRANSFERASE INCREASED,12,0.512998083336124
CALCIUM/POTASSIUM SALT OF HYDROXYCITRIC ACID,ELEVATED MOOD,3,0.512169325683788
Inositol,HAIR GROWTH ABNORMAL,9,0.512075634603168
Theanine,ALANINE AMINOTRANSFERASE INCREASED,11,0.510881310432398
Garcinia,DRUG-INDUCED LIVER INJURY,4,0.509956472381
LACTOBACILLUS GASSERI,ALOPECIA,16,0.509096811734778
Tribulus,URTICARIA,7,0.508634099354187
Chlorella,DIARRHOEA,12,0.507440383250806
Yohimbe,BLOOD CREATINE PHOSPHOKINASE INCREASED,4,0.505738643481346
(4-AMINOBUTYL)GUANIDINIUM SULPHATE,TACHYCARDIA,4,0.50463630135907
FREE PLANT STEROLS,BLOOD PRESSURE FLUCTUATION,6,0.504518827610525
Selenium,HOSPITALISATION,31,0.503972086756078
LACTOBACILLUS RHAMNOSUS,ALOPECIA,33,0.503325428721096
Bitter Orange,HEPATIC ENZYME INCREASED,6,0.502093533781962
Vinpocetine,HEART RATE INCREASED,5,0.501758582094119
Chromium,PENILE HAEMORRHAGE,6,0.501106600815345
ALL-TRANS-LYCOPENE,MUSCULOSKELETAL PAIN,4,0.500039739247412
Senna,BLOOD BILIRUBIN INCREASED,5,0.4985825682454
