product,adverse_event,count,ROR05
BENEFIBER WITH WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,CATARACT,3,1.47281600148967
BENEFIBER WITH WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,IRRITABLE BOWEL SYNDROME,3,1.39968254399172
BENEFIBER WITH WHEAT DEXTRIN (NCH) WHEAT DEXTRIN POWDER,INTESTINAL OBSTRUCTION,3,2.12921007566013
"BEROCCA (CAFFEINE, MINERALS, ASCORBIC ACID, VITAMIN B)",DEPENDENCE,4,6.3766834855645
"BEROCCA (CAFFEINE, MINERALS, ASCORBIC ACID, VITAMIN B) EFFERVESCENT TABLET",DEPENDENCE,6,5.3241878271097
BEROCCA CAFFEINE MINERALS ASCORBIC ACID VITAMIN B EFFERVESCENT TABLET,DEPENDENCE,7,5.87160975170375
BEROCCA CAFFEINE MINERALS ASCORBIC ACID VITAMIN B EFFERVESCENT TABLET,DRUG DEPENDENCE,4,4.60327583774938
BEROCCA MULTIVITAMINS CAFFEINE EFFERVESCENT TABLET,DRUG DEPENDENCE,5,5.22638052007083
BEROCCA MULTIVITAMINS CAFFEINE EFFERVESCENT TABLET,DEPENDENCE,3,4.59509450600157
BIOFLORITHIN   NATURE VITA,PHARYNGITIS,3,3.49327828889093
BIOGUARD DAILY IMMUNE SUPPORT,FLATULENCE,3,2.22458118370781
BIOGUARD DAILY IMMUNE SUPPORT,THROAT IRRITATION,3,2.00849421090682
BIOGUARD DAILY IMMUNE SUPPORT,ABDOMINAL DISTENSION,3,1.92604591033126
BIOGUARD DAILY IMMUNE SUPPORT,ABDOMINAL PAIN UPPER,4,1.3887325719795
BIOTIN,ALOPECIA,149,2.8471076643364
BIOTIN,HAIR GROWTH ABNORMAL,6,2.14145757636467
BIOTIN,TRICHORRHEXIS,8,1.53576500160543
BIOTIN,PAIN OF SKIN,5,1.88441368028971
BIOTIN,HAIR DISORDER,5,1.858819295814
BIOTIN,SELF ESTEEM DECREASED,3,1.86026670702354
BIOTIN,WOUND,4,1.34952474184296
BIOTIN,SKIN IRRITATION,6,1.01972138729733
BIOTIN,RASH ERYTHEMATOUS,5,1.0585427538503
BIOTRUST IC-5,HYPERHIDROSIS,3,1.72201052060356
BIOTRUST IC-5,DEHYDRATION,3,1.30997483580414
BIOTRUST NUTRITION LEPTIBURN,CONVULSION,3,2.19795302479553
BLACK POWDER,HEPATIC ENZYME INCREASED,3,2.14381855496776
BLUE MOON BLACK WALNUT HULL TINCTURE,MOYAMOYA DISEASE,3,8.10164187878974
BLUE MOON BLACK WALNUT HULL TINCTURE,Not coded,3,5.54318056468456
BODY FORTRESS SUPER ADVANCED WHEY PROTEIN POWDER VANILLA,PARAESTHESIA,4,2.73838913530075
BORAGE OIL,ALOPECIA,4,2.57468171498935
BURN,FEELING HOT,3,1.62480253216602
BURN,DEHYDRATION,4,1.07483639166238
BURN 60,PRURITUS,3,3.01347871077683
CALCIUM,ALOPECIA,96,1.09680651953804
CALCIUM,Not coded,12,2.36082468318752
CALCIUM,REMOVAL OF FOREIGN BODY FROM THROAT,10,1.74937372760746
CALCIUM,TRICHORRHEXIS,14,1.18798039995875
CALCIUM,EAR DISCOMFORT,5,1.25442081506578
CALCIUM,HAND FRACTURE,3,1.48900957853537
CALCIUM,FOREIGN BODY TRAUMA,40,0.34741562277614
CALCIUM,GASTROINTESTINAL EROSION,3,1.33260417912414
CALCIUM (CALCIUM),DYSPHAGIA,10,2.03783176848837
CALCIUM (CALCIUM),CHOKING,11,1.54128258797634
CALCIUM CARBONATE,BLOOD BICARBONATE INCREASED,3,5.1190484434931
CALCIUM CARBONATE,MILK-ALKALI SYNDROME,3,4.66663976912489
CALCIUM CARBONATE,BLOOD CALCIUM INCREASED,3,2.04283912843804
CALCIUM CARBONATE,BLOOD CREATININE INCREASED,3,1.45118550169663
CALCIUM CARBONATE (CALCIUM CARBONATE) UNKNOWN,MILK-ALKALI SYNDROME,3,5.00474386884088
CALCIUM CARBONATE (CALCIUM CARBONATE) UNKNOWN,HYPERCALCAEMIA,3,3.45172019375294
CALCIUM CARBONATE (CALCIUM CARBONATE) UNKNOWN,URINE ANALYSIS ABNORMAL,3,3.36297504034618
CALCIUM CARBONATE (CALCIUM CARBONATE) UNKNOWN,BLOOD CALCIUM INCREASED,4,2.8315731346021
CALCIUM CARBONATE (CALCIUM CARBONATE) UNKNOWN,RENAL FAILURE ACUTE,3,2.2190911924292
CALCIUM CARBONATE (CALCIUM CARBONATE) UNKNOWN,BLOOD CREATININE INCREASED,3,1.78877346985621
CALTRATE (CALCIUM CARBONATE),FLUID RETENTION,3,2.70647504648374
CALTRATE (CALCIUM CARBONATE),OEDEMA PERIPHERAL,3,1.9527673828284
CALTRATE (CALCIUM CARBONATE),WEIGHT INCREASED,3,1.81804614534159
CALTRATE (CALCIUM CARBONATE) TABLET,CHOKING,8,0.824136317249253
CALTRATE 600 + D,ABDOMINAL PAIN UPPER,3,2.44001944155611
CALTRATE 600 + D CALCIUM CARBONATE CHOLECALCIFEROL TABLET,DYSPHAGIA,4,1.95287673678357
CALTRATE 600 + D CALCIUM CARBONATE CHOLECALCIFEROL TABLET,CHOKING,4,1.31382746189336
"CALTRATE 600 + D PLUS MINERAL (CALCIUM CARBONATE, MULTIMINERAL, VITAMIN D) TABLET",FOREIGN BODY,3,1.62297758350965
"CALTRATE 600 + D PLUS MINERAL (CALCIUM CARBONATE, MULTIMINERAL, VITAMIN D) TABLET",CHOKING,7,0.952365291576317
CALTRATE 600 + VITAMIN D,CHOKING,5,1.69860355107246
"CALTRATE 600 + VITAMIN D (CALCIUM CARBONATE, CHOLECALCIFEROL)",COELIAC DISEASE,3,3.7014163608034
"CALTRATE 600 + VITAMIN D (CALCIUM CARBONATE, CHOLECALCIFEROL) TABLET",COELIAC DISEASE,10,2.52382870860551
"CALTRATE 600 + VITAMIN D (CALCIUM CARBONATE, CHOLECALCIFEROL) TABLET",DYSPHAGIA,16,1.43218189954181
"CALTRATE 600 + VITAMIN D (CALCIUM CARBONATE, CHOLECALCIFEROL) TABLET",CHOKING,22,1.21866004918994
"CALTRATE 600 + VITAMIN D (CALCIUM CARBONATE, CHOLECALCIFEROL) TABLET",OSTEOPOROSIS,3,2.91337036452624
"CALTRATE 600 + VITAMIN D (CALCIUM CARBONATE, CHOLECALCIFEROL) TABLET",NEPHROLITHIASIS,4,1.37802487429376
"CALTRATE 600 + VITAMIN D (CALCIUM CARBONATE, CHOLECALCIFEROL) TABLET",CONSTIPATION,6,1.11955547501722
"CALTRATE 600 PLUS CHEWABLE (CALCIUM CARBONATE, VITAMIN D, ZINC) CHEWABLE TABLET",FOREIGN BODY,3,1.94120101063881
"CALTRATE 600 PLUS CHEWABLE (CALCIUM CARBONATE, VITAMIN D, ZINC) CHEWABLE TABLET",CHOKING,7,1.29759637454271
CALTRATE 600 PLUS CHEWABLE CALCIUM CARBONATE VITAMIN D ZINC CHEWABLE TABLET,CHOKING,4,1.65068876542158
CALTRATE 600 PLUS CHEWABLE CALCIUM CARBONATE VITAMIN D ZINC CHEWABLE TABLET,DYSPHAGIA,3,1.77757892919064
CALTRATE CALCIUM CARBONATE,CHOKING,7,1.26636746057279
CALTRATE PLUS CALCIUM CARBONATE VITAMIN D ZINC TABLET,FOREIGN BODY TRAUMA,3,1.63459610947714
CARDIO VITAL PLUS,DIZZINESS,3,1.93659987186628
CATALYST BOTTLE,ATRIAL FIBRILLATION,3,1.26001529077636
CELLUCOR HD,HEADACHE,3,2.33591673083068
CELLUCOR SUPER HD,MYOCARDIAL INFARCTION,3,1.57465295718293
CENTRUM,EYE HAEMORRHAGE,4,2.43736544733003
CENTRUM,PRODUCTIVE COUGH,3,2.65262146163837
CENTRUM,ALOPECIA,10,0.813916079451703
"CENTRUM (MULTIMINERALS, MULTIVITAMINS)",COELIAC DISEASE,4,2.19801543133281
"CENTRUM (MULTIMINERALS, MULTIVITAMINS) TABLET",CHOKING,23,1.57677428914193
"CENTRUM (MULTIMINERALS, MULTIVITAMINS) TABLET",COELIAC DISEASE,8,2.4837964047932
"CENTRUM (MULTIMINERALS, MULTIVITAMINS) TABLET",DIABETES MELLITUS,4,2.14650893628786
"CENTRUM (MULTIMINERALS, MULTIVITAMINS) TABLET",DYSPHAGIA,9,0.924337401273678
"CENTRUM (MULTIMINERALS, MULTIVITAMINS) UNKNOWN",CHOKING,9,1.42789226261744
CENTRUM CARDIO,DYSPHAGIA,3,1.33374854662701
"CENTRUM CARDIO (MULTIVITAMIN, MULTIMINERAL, PHYTOSTEROLS) TABLET",CHOKING,5,1.37681004324341
"CENTRUM FLAVOR BURST (MULTIMINERALS, MULTIVITAMINS) CHEWABLE TABLET",TOOTH FRACTURE,3,5.4967482643928
"CENTRUM MULTIGUMMIES (MULTIMINERALS, MULTIVITAMINS) CHEWABLE TABLET",COELIAC DISEASE,3,2.09027883653848
"CENTRUM MULTIGUMMIES(MULTIMINERALS, MULITVITAMINS) CHEWABLE TABLET",THROAT IRRITATION,3,3.38719252493658
CENTRUM MULTIMINERALS MULTIVITAMINS TABLET,FOREIGN BODY TRAUMA,5,1.52403047255404
CENTRUM MULTIMINERALS MULTIVITAMINS TABLET,DYSPHAGIA,6,1.23557354352658
CENTRUM MULTIMINERALS MULTIVITAMINS TABLET,CHOKING,8,1.02408321717302
"CENTRUM MULTIMINERALS, MULTIVITAMINS",CHOKING,4,1.65068876542158
CENTRUM MULTIVITAMIN,RHABDOMYOLYSIS,3,1.65092132072677
CENTRUM MULTIVITAMIN FOR WOMEN 50+,ALOPECIA,3,3.3034272789593
CENTRUM SILVER,PHOTOPHOBIA,3,1.37813851577488
CENTRUM SILVER,DIVERTICULITIS,5,0.956962674217714
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS)",OSTEOPOROSIS,4,3.62502430994615
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS)",COELIAC DISEASE,7,2.28610469969313
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS)",DYSURIA,3,1.92445317147739
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS)",DEATH,3,1.63151195758829
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) CHEWABLE TABLET",DYSGEUSIA,8,3.44431442510702
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) CHEWABLE TABLET",COELIAC DISEASE,4,2.10409709572868
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) CHEWABLE TABLET",CHOKING,11,1.23769498903866
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) CHEWABLE TABLET",RETCHING,3,1.45454417139407
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) CHEWABLE TABLET",DYSPHAGIA,6,0.994517047671247
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) CHEWABLE TABLET",ABDOMINAL DISCOMFORT,3,1.33914338389499
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) TABLET",DYSPHAGIA,60,1.91353771732865
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) TABLET",COELIAC DISEASE,28,2.71213080611622
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) TABLET",CHOKING,80,1.63392243987325
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) TABLET",FOREIGN BODY TRAUMA,21,1.16705526634038
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) TABLET",NEOPLASM MALIGNANT,5,1.59313417412793
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) TABLET",BLOOD IRON DECREASED,4,1.67831673406055
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) TABLET",BODY HEIGHT DECREASED,3,1.88270561938899
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) TABLET",OSTEOPOROSIS,3,1.78374601752517
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) TABLET",ANAEMIA,5,1.02819677314713
CENTRUM SILVER ADULTS 50 PLUS MULTIMINERALS MULTIVITAMINS TABLET,CHOKING,4,1.24471002373305
"CENTRUM SILVER ADULTS 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",CHOKING,64,1.92716897962785
"CENTRUM SILVER ADULTS 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",DYSPHAGIA,44,2.07176017711784
"CENTRUM SILVER ADULTS 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",OESOPHAGEAL PAIN,3,2.39750432321756
"CENTRUM SILVER ADULTS 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",THROAT IRRITATION,8,1.13276223288755
"CENTRUM SILVER ADULTS 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",CONDITION AGGRAVATED,4,1.20250082722345
CENTRUM SILVER ADULTS 50+ MULTIMINERALS MULTIVITAMIN,CHOKING,22,1.78363002535721
CENTRUM SILVER ADULTS 50+ MULTIMINERALS MULTIVITAMIN,DYSPHAGIA,9,1.16437557261274
CENTRUM SILVER ADULTS 50+ MULTIMINERALS MULTIVITAMINS TABLET,CHOKING,8,1.47394041824582
CENTRUM SILVER ADULTS 50+ MULTIMINERALS MULTIVITAMINS TABLET,DYSPHAGIA,5,1.38437664648512
"CENTRUM SILVER ADULTS 50+ MULTIMINERALS, MULTIVITAMINS TABLET",DYSPHAGIA,5,1.91155113419615
CENTRUM SILVER ADULTS 50+ TABLET,DYSPHAGIA,4,1.88375680368987
"CENTRUM SILVER ADULTS 50+(MULTIMINERALS, MULTIVITAMINS) TABLET",CHOKING,13,1.40045112639488
"CENTRUM SILVER ADULTS 50+(MULTIMINERALS, MULTIVITAMINS) TABLET",DYSPHAGIA,9,1.50986590439123
"CENTRUM SILVER ADULTS 50+(MULTIMINERALS, MULTIVITAMINS) TABLET",RETCHING,3,1.38326275376817
CENTRUM SILVER CHEWABLE TABLET,CHOKING,3,1.60176759846217
"CENTRUM SILVER MEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",COELIAC DISEASE,18,2.87876368783195
"CENTRUM SILVER MEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",DYSPHAGIA,26,1.61998217451649
"CENTRUM SILVER MEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",CHOKING,32,1.2486034259384
"CENTRUM SILVER MEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",FOREIGN BODY,11,1.83688779965154
"CENTRUM SILVER MEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",BLOOD DISORDER,3,1.72138932410382
CENTRUM SILVER MEN'S 50+ MULTIMINERALS MULTIVITAMINS TABLET,DYSPHAGIA,5,1.50888075211491
"CENTRUM SILVER MEN'S 50+ MULTIMINERALS, MULTIVITAMINS TABLET",COELIAC DISEASE,3,2.4433884828358
CENTRUM SILVER MENS 50 PLUS MULTIMINERALS MULTIVITAMINS TABLET,CHOKING,3,1.60176759846217
"CENTRUM SILVER MENS 50 + (MULTIMINERALS, MULTIVITAMINS) TABLET",DYSPHAGIA,3,1.39539290492927
CENTRUM SILVER MULTIMINERALS MULTIVITAMINS,CHOKING,17,1.42675665075508
CENTRUM SILVER MULTIMINERALS MULTIVITAMINS,DRUG INTERACTION,3,2.54085752410171
CENTRUM SILVER MULTIMINERALS MULTIVITAMINS,COELIAC DISEASE,4,1.71328034501318
CENTRUM SILVER MULTIMINERALS MULTIVITAMINS,DYSPHAGIA,7,0.818116838064583
CENTRUM SILVER MULTIMINERALS MULTIVITAMINS CHEWABLE TABLET,MASTICATION DISORDER,3,4.77633495645617
CENTRUM SILVER MULTIMINERALS MULTIVITAMINS TABLET,CHOKING,35,2.26766201362345
CENTRUM SILVER MULTIMINERALS MULTIVITAMINS TABLET,DYSPHAGIA,18,1.95089089982166
CENTRUM SILVER MULTIMINERALS MULTIVITAMINS TABLET,FOREIGN BODY TRAUMA,9,1.55590927506444
"CENTRUM SILVER MULTIMINERALS, MULTIVITAMIN TABLET",CHOKING,3,1.60176759846217
"CENTRUM SILVER MULTIMINERALS, MULTIVITAMINS",CHOKING,4,1.46822221404475
"CENTRUM SILVER MULTIMINERALS, MULTIVITAMINS TABLET",COELIAC DISEASE,3,2.02386999241019
"CENTRUM SILVER MULTIMINERALS, MULTIVITAMINS TABLET",CHOKING,8,1.17591272688914
"CENTRUM SILVER MULTIMINERALS, MULTIVITAMINS TABLET",DYSPHAGIA,5,1.10527875071557
CENTRUM SILVER MULTIVITAMIN MULTIMINERAL SUPPLEMENT,CEREBROVASCULAR ACCIDENT,3,2.56919913825147
"CENTRUM SILVER ULTRA MEN'S (MULTIMINERALS, MULTIVITAMINS) TABLET",CHOKING,7,1.43330262500737
"CENTRUM SILVER ULTRA MEN'S (MULTIMINERALS, MULTIVITAMINS) TABLET",DYSPHAGIA,5,1.54258916641236
CENTRUM SILVER ULTRA WOMEN'S,CHOKING,37,2.58197885410762
CENTRUM SILVER ULTRA WOMEN'S,DYSPHAGIA,15,1.87994071811699
CENTRUM SILVER ULTRA WOMEN'S,FOREIGN BODY TRAUMA,11,2.01001602260435
