product,adverse_event,count,IC025
ALL DAY ENERGY GREENS,FLATULENCE,13,1.22937557263764
ALL DAY ENERGY GREENS,ABDOMINAL DISTENSION,11,0.768673107703816
ALL DAY ENERGY GREENS,GASTRIC ULCER HAEMORRHAGE,4,0.714407399099135
ALL DAY ENERGY GREENS,VOMITING,29,0.665856179337411
ALL DAY ENERGY GREENS,GASTROOESOPHAGEAL REFLUX DISEASE,6,0.546822735304646
ALL DAY ENERGY GREENS,GASTROINTESTINAL HAEMORRHAGE,4,0.506179056140245
ALL DAY ENERGY GREENS,CONSTIPATION,9,0.359623064372695
ALL DAY ENERGY GREENS,ABDOMINAL DISCOMFORT,7,0.302911540555991
ALL DAY ENERGY GREENS,GOUT,3,0.265051706103836
ALL DAY ENERGY GREENS,DIARRHOEA,19,0.25133180674345
ALL DAY ENERGY GREENS,INFLUENZA,3,0.234190261692656
ALL DAY ENERGY GREENS,CARDIAC DISORDER,4,0.0878701717351979
ALL DAY ENERGY GREENS,BLOOD POTASSIUM INCREASED,3,0.0838469737101775
ALL DAY ENERGY GREENS,DYSPEPSIA,7,0.0460532735542532
ALL DAY ENERGY GREENS FRUITY,GASTROINTESTINAL DISORDER,14,1.96559923993225
ALL DAY ENERGY GREENS FRUITY,GASTRIC DISORDER,12,1.83029942959518
ALL DAY ENERGY GREENS FRUITY,FLATULENCE,12,1.42268215020864
ALL DAY ENERGY GREENS FRUITY,HOSPITALISATION,7,1.05666735031727
ALL DAY ENERGY GREENS FRUITY,DIVERTICULITIS,6,0.994122692857691
ALL DAY ENERGY GREENS FRUITY,COMPUTERISED TOMOGRAM ABNORMAL,5,0.765458105951129
ALL DAY ENERGY GREENS FRUITY,DIARRHOEA,21,0.758367063771892
ALL DAY ENERGY GREENS FRUITY,ABDOMINAL DISTENSION,8,0.649843914422751
ALL DAY ENERGY GREENS FRUITY,ABDOMINAL PAIN UPPER,12,0.387867267520469
ALL DAY ENERGY GREENS FRUITY,DEHYDRATION,8,0.375605406358089
ALL DAY ENERGY GREENS FRUITY,VOMITING,16,0.317694047236157
ALL DAY ENERGY GREENS FRUITY,DIARRHOEA HAEMORRHAGIC,3,0.311123597310295
ALL DAY ENERGY GREENS FRUITY,BACK PAIN,5,0.126640855475825
ALL DAY ENERGY GREENS FRUITY,CONSTIPATION,6,0.117984120318722
ALL DAY ENERGY GREENS FRUITY,ERUCTATION,3,0.0723241475313283
"ALL DAY ENERGY GREENS, FRUITY",BLOOD PRESSURE INCREASED,6,0.851186614099763
"ALL DAY ENERGY GREENS, FRUITY",DIARRHOEA,7,0.828329903995618
ALL DAY ENERGY GREENS.,ABDOMINAL PAIN UPPER,8,1.01077361735995
ALL DAY ENERGY GREENS.,GASTRIC DISORDER,4,0.782454600552721
ALL DAY ENERGY GREENS.,ABDOMINAL DISTENSION,4,0.493374685814737
ALL DAY ENERGY GREENS.,INTESTINAL OBSTRUCTION,3,0.37274415353491
ALL DAY ENERGY GREENS.,BACK PAIN,3,0.108061491915815
ALL NATURAL GLYMETROL PROPRIETARY HERBAL FORMULA,HEPATIC ENZYME INCREASED,3,0.515085679872214
ALOE ORGANICS ORGANIC 100% PURE ALOE JUICE,HEART RATE INCREASED,3,0.396259889054942
AMP ENERGY DRINK,HEART RATE INCREASED,5,1.08016771256978
AMPLIFIED WHEYBOLIC EXTREME 60,HEPATIC ENZYME INCREASED,4,0.902202647491888
AZO,ALOPECIA,6,1.43439154932924
AZO BLADDER CONTROL,HYPERSENSITIVITY,3,0.0066725614220502
AZO CRANBERRY TABLETS,HYPERSENSITIVITY,3,0.1639138889697
B COMPLEX,BURNING SENSATION,6,0.386619760330758
B COMPLEX,ALOPECIA,9,0.258135918247498
B COMPLEX,BLISTER,3,0.0956684890868869
B COMPLEX,SKIN IRRITATION,3,0.0391562990467004
B COMPLEX VITAMIN,PAIN,3,0.144382599318027
B-12,NEUROPATHY PERIPHERAL,3,0.381773205883259
B-12,HYPERSENSITIVITY,5,0.113397503035898
B-50,ALOPECIA,3,0.247207614977151
B-COMPLEX,ALOPECIA,7,0.288707859642983
B-COMPLEX,NEUROPATHY PERIPHERAL,3,0.270361176900204
B12,ALOPECIA,10,1.01536451870678
B12,GAIT DISTURBANCE,3,0.0851343509630325
B6,HYPOAESTHESIA,3,0.252571141182378
BAYER ONE A DAY WEIGHT SMART,NAUSEA,3,0.439157490783023
"BAYER PRO ULTRA OMEGA-3 (OMEGA-3 FATTY ACIDS, VITAMIN D3)",CHOKING,4,0.638974094373186
BEANO ALPHA-D-GALACTOSIDASE,BACK PAIN,4,0.754323086417732
BEANO ALPHA-D-GALACTOSIDASE,LARGE INTESTINE PERFORATION,3,0.511495699829335
BEANO ALPHA-D-GALACTOSIDASE,FEELING ABNORMAL,3,0.230261686199392
BEANO ALPHA-D-GALACTOSIDASE,LIVER FUNCTION TEST ABNORMAL,3,0.200928091453076
BEANO LIQUID DROPS,HOSPITALISATION,3,0.490542466204055
BEANO TABLET (ALPHA-D-GALACTOSIDASE),PHYSICAL EXAMINATION,4,0.912626609127232
BEANO TABLETS (ALPHA-D-GALACTOSIDASE),BLOOD GLUCOSE DECREASED,3,0.461416058148399
BEAST STACK,HEPATIC ENZYME INCREASED,3,0.500714924414265
BEAUTY SLIM (PRETTY SLIM),HYPERVIGILANCE,5,1.3273258070433
BEAUTY SLIM (PRETTY SLIM),DRY MOUTH,5,1.29711483754025
BEAUTY SLIM (PRETTY SLIM),FEELING ABNORMAL,5,1.17339579759701
BEAUTY SLIM (PRETTY SLIM),WEIGHT DECREASED,5,1.16648446986167
BELLY TRIM XP,HYPERHIDROSIS,3,0.0419981741429685
BELLY TRIM XP,CEREBROVASCULAR ACCIDENT,3,0.0397989759271948
BENEFIBER (NCH),DIVERTICULITIS,3,0.440975803108972
BENEFIBER POWDER STICK PACKS (WHEAT DEXTRIN) UNKNOWN,PSEUDOMONAS INFECTION,3,0.522649871805236
BENEFIBER STICK PACKS (WHEAT DEXTRIN) POWDER,DIVERTICULITIS,3,0.225126457383399
BENEFIBER STICK PACKS (WHEAT DEXTRIN) POWDER,CONSTIPATION,4,0.118064066237365
BENEFIBER SUGAR FREE (NCH) (WHEAT DEXTRIN) CHEWABLE TABLET,INFLUENZA,3,0.498266730443363
BENEFIBER SUGAR FREE (NCH) (WHEAT DEXTRIN) CHEWABLE TABLET,PYREXIA,3,0.302348850414859
BENEFIBER SUGAR FREE (NCH) (WHEAT DEXTRIN) CHEWABLE TABLET,FALL,3,0.217097096286577
BENEFIBER UNKNOWN (NCH),DEATH,5,1.25104938616154
BENEFIBER UNKNOWN (NCH) (UNKNOWN) POWDER,THERAPEUTIC RESPONSE UNEXPECTED,3,0.496073261928394
BENEFIBER UNKNOWN (NCH) (UNKNOWN) POWDER,CONSTIPATION,4,0.482056229373329
BENEFIBER UNKNOWN (NCH) (UNKNOWN) UNKNOWN,DEATH,3,0.439845737467777
BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,OVERDOSE,7,1.35944207316964
BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,FLATULENCE,10,1.01136907211324
BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,HAEMORRHOIDS,5,0.963782766026247
BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,UNDERDOSE,4,0.89898853879005
BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,BOWEL MOVEMENT IRREGULARITY,4,0.788020404933762
BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,CONSTIPATION,10,0.659110461485521
BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,CONDITION AGGRAVATED,5,0.563581037130272
BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,BARRETT'S OESOPHAGUS,3,0.437653691948554
BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,DRUG DEPENDENCE,4,0.395529729423666
BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,FALL,6,0.342820681286119
BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,HIATUS HERNIA,3,0.236310483507975
BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,DIVERTICULITIS,4,0.236084062358369
BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,MALAISE,11,0.190593363488112
BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,FREQUENT BOWEL MOVEMENTS,3,0.160150777371868
BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,DIARRHOEA,15,0.127392249514162
BENEFIBER WITH WHEAT DEXTRIN,FALL,3,0.177921399788544
BENEFIBER WITH WHEAT DEXTRIN,CONSTIPATION,3,0.00763896090892305
BENEFIBER WITH WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,UNDERDOSE,7,1.74464416410877
BENEFIBER WITH WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,DIVERTICULITIS,10,1.64549089933539
BENEFIBER WITH WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,THERAPEUTIC RESPONSE UNEXPECTED,6,1.46215513504491
BENEFIBER WITH WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,OVERDOSE,7,1.39817378794375
BENEFIBER WITH WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,GOUT,4,0.776032319129519
BENEFIBER WITH WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,DIABETES MELLITUS,5,0.624214562901937
BENEFIBER WITH WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,CONSTIPATION,8,0.41183158445893
BENEFIBER WITH WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,SINUSITIS,3,0.219609487648459
BENEFIBER WITH WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,CATARACT,3,0.167922118191228
BENEFIBER WITH WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,IRRITABLE BOWEL SYNDROME,3,0.123605888860864
BENEFIBER WITH WHEAT DEXTRIN (NCH) WHEAT DEXTRIN POWDER,ABDOMINAL PAIN UPPER,6,0.392012740514739
BENEFIBER WITH WHEAT DEXTRIN (NCH) WHEAT DEXTRIN POWDER,INTESTINAL OBSTRUCTION,3,0.301906049465068
BENEFIBER WITH WHEAT DEXTRIN (NCH)(WHEAT DEXTRIN) POWDER,DIARRHOEA,4,0.0837538582707872
"BEROCCA (CAFFEINE, MINERALS, ASCORBIC ACID, VITAMIN B)",DEPENDENCE,4,1.00124288364265
"BEROCCA (CAFFEINE, MINERALS, ASCORBIC ACID, VITAMIN B) EFFERVESCENT TABLET",DEPENDENCE,6,1.58533324738324
BEROCCA CAFFEINE MINERALS ASCORBIC ACID VITAMIN B EFFERVESCENT TABLET,DEPENDENCE,7,1.82261482243118
BEROCCA CAFFEINE MINERALS ASCORBIC ACID VITAMIN B EFFERVESCENT TABLET,DRUG DEPENDENCE,4,0.973667343813315
BEROCCA MULTIVITAMINS CAFFEINE EFFERVESCENT TABLET,DRUG DEPENDENCE,5,1.3119212899452
BEROCCA MULTIVITAMINS CAFFEINE EFFERVESCENT TABLET,DEPENDENCE,3,0.49433644497052
BIOFLORITHIN   NATURE VITA,PHARYNGITIS,3,0.477351505414715
BIOGUARD DAILY IMMUNE SUPPORT,ABDOMINAL PAIN UPPER,4,0.444593283710109
BIOGUARD DAILY IMMUNE SUPPORT,FLATULENCE,3,0.330177424510193
BIOGUARD DAILY IMMUNE SUPPORT,THROAT IRRITATION,3,0.304106088480856
BIOGUARD DAILY IMMUNE SUPPORT,ABDOMINAL DISTENSION,3,0.29025110735846
BIOTIN,ALOPECIA,149,2.57833910027128
BIOTIN,HAIR GROWTH ABNORMAL,6,1.10822395565858
BIOTIN,TRICHORRHEXIS,8,1.0124033361859
BIOTIN,PAIN OF SKIN,5,0.851483039743549
BIOTIN,HAIR DISORDER,5,0.840753246670035
BIOTIN,SKIN IRRITATION,6,0.525220558459814
BIOTIN,RASH ERYTHEMATOUS,5,0.439994143224632
BIOTIN,WOUND,4,0.414361800382573
BIOTIN,PRURITUS,22,0.313424733122845
BIOTIN,SELF ESTEEM DECREASED,3,0.279930066446278
BIOTIN,SCAB,3,0.0361004289388202
BIOTRUST IC-5,HYPERHIDROSIS,3,0.234301610859651
BIOTRUST IC-5,DEHYDRATION,3,0.0945950620487205
BIOTRUST NUTRITION LEPTIBURN,CONVULSION,3,0.333509047169109
BLACK POWDER,HEPATIC ENZYME INCREASED,3,0.323836541167373
BLACK STALLION TABS,DIZZINESS,4,0.179308444632917
BLUE MOON BLACK WALNUT HULL TINCTURE,MOYAMOYA DISEASE,3,0.533563694617212
BLUE MOON BLACK WALNUT HULL TINCTURE,Not coded,3,0.511215186683003
BODY FORTRESS SUPER ADVANCED WHEY PROTEIN POWDER VANILLA,PARAESTHESIA,4,0.82173329627007
BORAGE OIL,ALOPECIA,4,0.793441907007606
BURN,VOMITING,7,0.406189046664181
BURN,DEHYDRATION,4,0.281310254988786
BURN,FEELING HOT,3,0.204227598676341
BURN,DIARRHOEA,5,0.0050024665660952
BURN 60,PRURITUS,3,0.44150221186244
CALCIUM,Not coded,12,1.70596332626516
CALCIUM,REMOVAL OF FOREIGN BODY FROM THROAT,10,1.25454074472233
CALCIUM,ALOPECIA,96,1.03019789888817
CALCIUM,TRICHORRHEXIS,14,0.950481766620853
CALCIUM,EAR DISCOMFORT,5,0.553586356631772
CALCIUM,HAIR TEXTURE ABNORMAL,8,0.35029355587343
CALCIUM,FOREIGN BODY TRAUMA,40,0.302911963940723
CALCIUM,ERYTHEMA,27,0.266053751691194
CALCIUM,HIP FRACTURE,4,0.230579244956075
CALCIUM,RASH PRURITIC,7,0.200012971555068
CALCIUM,RASH,34,0.176373907312271
CALCIUM,HAND FRACTURE,3,0.176295567813494
CALCIUM,GASTROINTESTINAL EROSION,3,0.12285888107122
CALCIUM,CHEMICAL INJURY,4,0.0915763303548465
CALCIUM,CHOKING,92,0.0852802489565518
CALCIUM,DERMATITIS,4,0.0722865470535416
CALCIUM,THROAT IRRITATION,18,0.0332845548584987
CALCIUM,DYSPHAGIA,50,0.0182697535374188
CALCIUM,OROPHARYNGEAL PAIN,14,0.0123341281774876
CALCIUM (CALCIUM),DYSPHAGIA,10,1.4108350504946
CALCIUM (CALCIUM),CHOKING,11,1.12716246329021
CALCIUM CARBONATE,MILK-ALKALI SYNDROME,3,0.51187415628215
CALCIUM CARBONATE,BLOOD BICARBONATE INCREASED,3,0.500514279112357
CALCIUM CARBONATE,BLOOD CALCIUM INCREASED,3,0.295671254103437
CALCIUM CARBONATE,BLOOD CREATININE INCREASED,3,0.165501517713344
CALCIUM CARBONATE (CALCIUM CARBONATE) UNKNOWN,BLOOD CALCIUM INCREASED,4,0.825705027516394
CALCIUM CARBONATE (CALCIUM CARBONATE) UNKNOWN,MILK-ALKALI SYNDROME,3,0.527096820606753
CALCIUM CARBONATE (CALCIUM CARBONATE) UNKNOWN,URINE ANALYSIS ABNORMAL,3,0.471070572120715
CALCIUM CARBONATE (CALCIUM CARBONATE) UNKNOWN,HYPERCALCAEMIA,3,0.470293031615291
CALCIUM CARBONATE (CALCIUM CARBONATE) UNKNOWN,RENAL FAILURE ACUTE,3,0.337138164386312
CALCIUM CARBONATE (CALCIUM CARBONATE) UNKNOWN,BLOOD CREATININE INCREASED,3,0.248775712517908
CALTATE,ALOPECIA,3,0.508560538502057
CALTRATE (CALCIUM CARBONATE),FLUID RETENTION,3,0.410220785045446
CALTRATE (CALCIUM CARBONATE),CHOKING,9,0.384404739970789
CALTRATE (CALCIUM CARBONATE),OEDEMA PERIPHERAL,3,0.273251469350995
CALTRATE (CALCIUM CARBONATE),WEIGHT INCREASED,3,0.265672939518642
CALTRATE (CALCIUM CARBONATE) TABLET,CHOKING,8,0.504350679212275
CALTRATE 600 + D,ABDOMINAL PAIN UPPER,3,0.372023180474732
CALTRATE 600 + D CALCIUM CARBONATE CHOLECALCIFEROL TABLET,DYSPHAGIA,4,0.652750996644398
CALTRATE 600 + D CALCIUM CARBONATE CHOLECALCIFEROL TABLET,CHOKING,4,0.418046941562407
"CALTRATE 600 + D PLUS MINERAL (CALCIUM CARBONATE, MULTIMINERAL, VITAMIN D) TABLET",CHOKING,7,0.54321653419204
"CALTRATE 600 + D PLUS MINERAL (CALCIUM CARBONATE, MULTIMINERAL, VITAMIN D) TABLET",FOREIGN BODY,3,0.209659113544448
"CALTRATE 600 + D PLUS MINERAL (CALCIUM CARBONATE, MULTIMINERAL, VITAMIN D) TABLET",DYSPHAGIA,4,0.112186172840737
CALTRATE 600 + VITAMIN D,CHOKING,5,0.761896246412419
"CALTRATE 600 + VITAMIN D (CALCIUM CARBONATE, CHOLECALCIFEROL)",COELIAC DISEASE,3,0.472687441825257
"CALTRATE 600 + VITAMIN D (CALCIUM CARBONATE, CHOLECALCIFEROL) TABLET",COELIAC DISEASE,10,1.70629933133741
"CALTRATE 600 + VITAMIN D (CALCIUM CARBONATE, CHOLECALCIFEROL) TABLET",DYSPHAGIA,16,1.18091753645561
"CALTRATE 600 + VITAMIN D (CALCIUM CARBONATE, CHOLECALCIFEROL) TABLET",CHOKING,22,1.03517602730635
"CALTRATE 600 + VITAMIN D (CALCIUM CARBONATE, CHOLECALCIFEROL) TABLET",CONSTIPATION,6,0.601453759355721
"CALTRATE 600 + VITAMIN D (CALCIUM CARBONATE, CHOLECALCIFEROL) TABLET",NEPHROLITHIASIS,4,0.433297846847886
"CALTRATE 600 + VITAMIN D (CALCIUM CARBONATE, CHOLECALCIFEROL) TABLET",OSTEOPOROSIS,3,0.43071556462092
"CALTRATE 600 + VITAMIN D (CALCIUM CARBONATE, CHOLECALCIFEROL) TABLET",FOREIGN BODY,4,0.169410195240525
"CALTRATE 600 + VITAMIN D (CALCIUM CARBONATE, CHOLECALCIFEROL) TABLET",HAEMORRHAGE,4,0.156071387293134
"CALTRATE 600 + VITAMIN D CALCIUM CARBONATE, CHOLECALCIFEROL TABLET",CHOKING,3,0.0324785459706129
"CALTRATE 600 +VITAMIN D (CALCIUM CARBONATE, CHOLECALCIFEROL) TABLET",CHOKING,5,0.0117677332633955
"CALTRATE 600 PLUS CHEWABLE (CALCIUM CARBONATE, VITAMIN D, ZINC) CHEWABLE TABLET",CHOKING,7,0.788342992005838
"CALTRATE 600 PLUS CHEWABLE (CALCIUM CARBONATE, VITAMIN D, ZINC) CHEWABLE TABLET",FOREIGN BODY,3,0.272531817392557
CALTRATE 600 PLUS CHEWABLE CALCIUM CARBONATE VITAMIN D ZINC CHEWABLE TABLET,CHOKING,4,0.555346732769361
CALTRATE 600 PLUS CHEWABLE CALCIUM CARBONATE VITAMIN D ZINC CHEWABLE TABLET,DYSPHAGIA,3,0.245211531366782
CALTRATE CALCIUM CARBONATE,CHOKING,7,0.76365420411181
CALTRATE CALCIUM CARBONATE,DYSPHAGIA,4,0.27694287977565
CALTRATE PLUS CALCIUM CARBONATE VITAMIN D ZINC TABLET,CHOKING,4,0.219682199061189
CALTRATE PLUS CALCIUM CARBONATE VITAMIN D ZINC TABLET,FOREIGN BODY TRAUMA,3,0.199413087426079
CARDIO VITAL PLUS,DIZZINESS,3,0.293751469956208
CATALYST BOTTLE,ATRIAL FIBRILLATION,3,0.0954480963206167
CATALYST BOTTLE,ABDOMINAL PAIN,5,0.0562969845785344
CELLUCOR HD,HEADACHE,3,0.372720691131854
CELLUCOR SUPER HD,MYOCARDIAL INFARCTION,3,0.193340362543348
CELLUCOR SUPER HD,DYSPNOEA,5,0.173958657257002
CENTRUM,EYE HAEMORRHAGE,4,0.759742355079349
CENTRUM,ALOPECIA,10,0.571709822898778
CENTRUM,PRODUCTIVE COUGH,3,0.407812453939555
CENTRUM,CONDITION AGGRAVATED,3,0.034366082317774
"CENTRUM (MULTIMINERALS, MULTIVITAMINS)",COELIAC DISEASE,4,0.704892702619824
"CENTRUM (MULTIMINERALS, MULTIVITAMINS)",DYSPHAGIA,5,0.296490404433264
"CENTRUM (MULTIMINERALS, MULTIVITAMINS) TABLET",COELIAC DISEASE,8,1.50542951214704
"CENTRUM (MULTIMINERALS, MULTIVITAMINS) TABLET",CHOKING,23,1.32610855212801
"CENTRUM (MULTIMINERALS, MULTIVITAMINS) TABLET",DIABETES MELLITUS,4,0.704877583452255
"CENTRUM (MULTIMINERALS, MULTIVITAMINS) TABLET",DYSPHAGIA,9,0.63342581582006
"CENTRUM (MULTIMINERALS, MULTIVITAMINS) TABLET",FOREIGN BODY TRAUMA,5,0.184259568993841
"CENTRUM (MULTIMINERALS, MULTIVITAMINS) UNKNOWN",CHOKING,9,0.980545230544536
CENTRUM CARDIO,DYSPHAGIA,3,0.117693196982768
"CENTRUM CARDIO (MULTIVITAMIN, MULTIMINERAL, PHYTOSTEROLS) TABLET",CHOKING,5,0.62792088044496
"CENTRUM FLAVOR BURST (MULTIMINERALS, MULTIVITAMINS) CHEWABLE TABLET",TOOTH FRACTURE,3,0.510447870427065
"CENTRUM MULTIGUMMIES (MULTIMINERALS, MULTIVITAMINS) CHEWABLE TABLET",COELIAC DISEASE,3,0.309296493127555
"CENTRUM MULTIGUMMIES(MULTIMINERALS, MULITVITAMINS) CHEWABLE TABLET",THROAT IRRITATION,3,0.473923034516399
CENTRUM MULTIMINERALS MULTIVITAMINS TABLET,FOREIGN BODY TRAUMA,5,0.685176756325709
CENTRUM MULTIMINERALS MULTIVITAMINS TABLET,DYSPHAGIA,6,0.664023971203176
CENTRUM MULTIMINERALS MULTIVITAMINS TABLET,CHOKING,8,0.658997218854796
"CENTRUM MULTIMINERALS, MULTIVITAMINS",CHOKING,4,0.559150524158774
CENTRUM MULTIVITAMIN,RHABDOMYOLYSIS,3,0.217395687366487
CENTRUM MULTIVITAMIN,ALOPECIA,5,0.0776886921123051
CENTRUM MULTIVITAMIN,URTICARIA,4,0.0419592387131743
CENTRUM MULTIVITAMIN FOR WOMEN 50+,ALOPECIA,3,0.479895778102096
CENTRUM SILVER,DIVERTICULITIS,5,0.381081120200807
CENTRUM SILVER,WEIGHT DECREASED,9,0.32577892598081
CENTRUM SILVER,CHOKING,32,0.266869419025338
CENTRUM SILVER,FOREIGN BODY TRAUMA,12,0.154803523631944
CENTRUM SILVER,PHOTOPHOBIA,3,0.117111841950205
CENTRUM SILVER,ASTHENIA,12,0.0167426146136682
CENTRUM SILVER,CATARACT,3,0.0030511257167599
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS)",COELIAC DISEASE,7,1.30004617060023
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS)",OSTEOPOROSIS,4,0.940561800833027
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS)",DYSURIA,3,0.294548917779677
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS)",DEATH,3,0.208655683466239
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) CHEWABLE TABLET",DYSGEUSIA,8,1.79360570072519
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) CHEWABLE TABLET",CHOKING,11,0.916436579179613
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) CHEWABLE TABLET",COELIAC DISEASE,4,0.687828900767754
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) CHEWABLE TABLET",DYSPHAGIA,6,0.51239903663952
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) CHEWABLE TABLET",RETCHING,3,0.158604282554488
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) CHEWABLE TABLET",ABDOMINAL DISCOMFORT,3,0.114588054989958
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) TABLET",COELIAC DISEASE,28,2.32355292805664
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) TABLET",DYSPHAGIA,60,1.75038876249744
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) TABLET",CHOKING,80,1.47787404944984
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) TABLET",FOREIGN BODY TRAUMA,21,1.01621668897736
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) TABLET",NEOPLASM MALIGNANT,5,0.721002351551668
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) TABLET",BLOOD IRON DECREASED,4,0.56198360485535
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) TABLET",ANAEMIA,5,0.422729026170517
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) TABLET",BODY HEIGHT DECREASED,3,0.278580529333468
