product,adverse_event,count,PRR05
BEANO ALPHA-D-GALACTOSIDASE,LIVER FUNCTION TEST ABNORMAL,3,1.58856629262424
BEANO LIQUID DROPS,HOSPITALISATION,3,4.01965777996451
BEANO TABLET (ALPHA-D-GALACTOSIDASE),PHYSICAL EXAMINATION,4,3.60951687345617
BEANO TABLETS (ALPHA-D-GALACTOSIDASE),BLOOD GLUCOSE DECREASED,3,3.26970271150015
BEAST STACK,HEPATIC ENZYME INCREASED,3,4.11976111793169
BEAUTY SLIM (PRETTY SLIM),HYPERVIGILANCE,5,8.0909429627408
BEAUTY SLIM (PRETTY SLIM),DRY MOUTH,5,4.68297765119163
BEAUTY SLIM (PRETTY SLIM),FEELING ABNORMAL,5,3.2844962426133
BEAUTY SLIM (PRETTY SLIM),WEIGHT DECREASED,5,3.13388759491465
BENEFIBER (NCH),DIVERTICULITIS,3,2.8538310513162
BENEFIBER POWDER STICK PACKS (WHEAT DEXTRIN) UNKNOWN,PSEUDOMONAS INFECTION,3,7.18618708520558
BENEFIBER STICK PACKS (WHEAT DEXTRIN) POWDER,DIVERTICULITIS,3,1.69703804907285
BENEFIBER SUGAR FREE (NCH) (WHEAT DEXTRIN) CHEWABLE TABLET,INFLUENZA,3,3.9557232382353
BENEFIBER SUGAR FREE (NCH) (WHEAT DEXTRIN) CHEWABLE TABLET,PYREXIA,3,1.96826197153725
BENEFIBER SUGAR FREE (NCH) (WHEAT DEXTRIN) CHEWABLE TABLET,FALL,3,1.68044629059677
BENEFIBER UNKNOWN (NCH),DEATH,5,3.73312852964626
BENEFIBER UNKNOWN (NCH) (UNKNOWN) POWDER,THERAPEUTIC RESPONSE UNEXPECTED,3,4.27191489327703
BENEFIBER UNKNOWN (NCH) (UNKNOWN) POWDER,CONSTIPATION,4,1.5336875846058
BENEFIBER UNKNOWN (NCH) (UNKNOWN) UNKNOWN,DEATH,3,2.91874871422411
BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,OVERDOSE,7,2.41415640062634
BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,UNDERDOSE,4,3.390661746379
BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,BARRETT'S OESOPHAGUS,3,3.09047354680333
BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,BOWEL MOVEMENT IRREGULARITY,4,2.56582136001958
BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,HAEMORRHOIDS,5,2.18882479621494
BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,FLATULENCE,10,1.37571414140671
BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,HIATUS HERNIA,3,1.7652693986771
BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,CONSTIPATION,10,0.90931797462903
BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,CONDITION AGGRAVATED,5,1.26492847682685
BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,FREQUENT BOWEL MOVEMENTS,3,1.51724467496049
BENEFIBER W WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,DRUG DEPENDENCE,4,1.30517979330785
BENEFIBER WITH WHEAT DEXTRIN,FALL,3,1.56324323213243
BENEFIBER WITH WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,UNDERDOSE,7,4.37487753823645
BENEFIBER WITH WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,THERAPEUTIC RESPONSE UNEXPECTED,6,3.53025909010051
BENEFIBER WITH WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,DIVERTICULITIS,10,2.39413698018581
BENEFIBER WITH WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,OVERDOSE,7,2.49695248254614
BENEFIBER WITH WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,GOUT,4,2.54834618969031
BENEFIBER WITH WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,DIABETES MELLITUS,5,1.39347748309616
BENEFIBER WITH WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,SINUSITIS,3,1.73242246447501
BENEFIBER WITH WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,CATARACT,3,1.47436451871869
BENEFIBER WITH WHEAT DEXTRIN (NCH) (WHEAT DEXTRIN) POWDER,IRRITABLE BOWEL SYNDROME,3,1.40128425717294
BENEFIBER WITH WHEAT DEXTRIN (NCH) WHEAT DEXTRIN POWDER,INTESTINAL OBSTRUCTION,3,2.13417147662942
"BEROCCA (CAFFEINE, MINERALS, ASCORBIC ACID, VITAMIN B)",DEPENDENCE,4,6.49874675457338
"BEROCCA (CAFFEINE, MINERALS, ASCORBIC ACID, VITAMIN B) EFFERVESCENT TABLET",DEPENDENCE,6,5.25370439580093
BEROCCA CAFFEINE MINERALS ASCORBIC ACID VITAMIN B EFFERVESCENT TABLET,DEPENDENCE,7,5.73040788813256
BEROCCA CAFFEINE MINERALS ASCORBIC ACID VITAMIN B EFFERVESCENT TABLET,DRUG DEPENDENCE,4,4.597100552003
BEROCCA MULTIVITAMINS CAFFEINE EFFERVESCENT TABLET,DRUG DEPENDENCE,5,5.17116265716964
BEROCCA MULTIVITAMINS CAFFEINE EFFERVESCENT TABLET,DEPENDENCE,3,4.6256079284369
BIOFLORITHIN   NATURE VITA,PHARYNGITIS,3,3.51139009901517
BIOGUARD DAILY IMMUNE SUPPORT,FLATULENCE,3,2.24074341814068
BIOGUARD DAILY IMMUNE SUPPORT,THROAT IRRITATION,3,2.02552274181601
BIOGUARD DAILY IMMUNE SUPPORT,ABDOMINAL DISTENSION,3,1.94345190517954
BIOGUARD DAILY IMMUNE SUPPORT,ABDOMINAL PAIN UPPER,4,1.39848042591686
BIOTIN,ALOPECIA,149,2.68811434510705
BIOTIN,HAIR GROWTH ABNORMAL,6,2.14016395241293
BIOTIN,TRICHORRHEXIS,8,1.53369272223871
BIOTIN,PAIN OF SKIN,5,1.88388409360029
BIOTIN,HAIR DISORDER,5,1.85830400543478
BIOTIN,SELF ESTEEM DECREASED,3,1.86077488312666
BIOTIN,WOUND,4,1.34981307283286
BIOTIN,SKIN IRRITATION,6,1.01938129007539
BIOTIN,RASH ERYTHEMATOUS,5,1.05860622556947
BIOTRUST IC-5,HYPERHIDROSIS,3,1.73623562874584
BIOTRUST IC-5,DEHYDRATION,3,1.32645853183081
BIOTRUST NUTRITION LEPTIBURN,CONVULSION,3,2.22233486344498
BLACK POWDER,HEPATIC ENZYME INCREASED,3,2.16529150618971
BLUE MOON BLACK WALNUT HULL TINCTURE,Not coded,3,5.56907579304653
BLUE MOON BLACK WALNUT HULL TINCTURE,MOYAMOYA DISEASE,3,8.0542914563778
BODY FORTRESS SUPER ADVANCED WHEY PROTEIN POWDER VANILLA,PARAESTHESIA,4,2.73900298715081
BORAGE OIL,ALOPECIA,4,2.58035609793613
BURN,FEELING HOT,3,1.63212733814083
BURN,DEHYDRATION,4,1.08030010427006
BURN 60,PRURITUS,3,3.18229249780015
CALCIUM,ALOPECIA,96,1.0756192688314
CALCIUM,Not coded,12,2.35866858800353
CALCIUM,REMOVAL OF FOREIGN BODY FROM THROAT,10,1.74804971902475
CALCIUM,TRICHORRHEXIS,14,1.18619464244175
CALCIUM,EAR DISCOMFORT,5,1.25433047609101
CALCIUM,HAND FRACTURE,3,1.48915374405286
CALCIUM,FOREIGN BODY TRAUMA,40,0.344552360472535
CALCIUM,GASTROINTESTINAL EROSION,3,1.33278000157988
CALCIUM (CALCIUM),DYSPHAGIA,10,1.97348550179253
CALCIUM (CALCIUM),CHOKING,11,1.4747847590586
CALCIUM CARBONATE,BLOOD BICARBONATE INCREASED,3,5.11789263151014
CALCIUM CARBONATE,MILK-ALKALI SYNDROME,3,4.66699004158341
CALCIUM CARBONATE,BLOOD CALCIUM INCREASED,3,2.04656943150911
CALCIUM CARBONATE,BLOOD CREATININE INCREASED,3,1.45576823638085
CALCIUM CARBONATE (CALCIUM CARBONATE) UNKNOWN,MILK-ALKALI SYNDROME,3,5.00520546750447
CALCIUM CARBONATE (CALCIUM CARBONATE) UNKNOWN,HYPERCALCAEMIA,3,3.45540531661213
CALCIUM CARBONATE (CALCIUM CARBONATE) UNKNOWN,URINE ANALYSIS ABNORMAL,3,3.36675981231124
CALCIUM CARBONATE (CALCIUM CARBONATE) UNKNOWN,BLOOD CALCIUM INCREASED,4,2.83123371557661
CALCIUM CARBONATE (CALCIUM CARBONATE) UNKNOWN,RENAL FAILURE ACUTE,3,2.22414648167422
CALCIUM CARBONATE (CALCIUM CARBONATE) UNKNOWN,BLOOD CREATININE INCREASED,3,1.7945097907763
CALTATE,ALOPECIA,3,4.43883156697652
CALTRATE (CALCIUM CARBONATE),FLUID RETENTION,3,2.71111006669027
CALTRATE (CALCIUM CARBONATE),OEDEMA PERIPHERAL,3,1.95840220397837
CALTRATE (CALCIUM CARBONATE),WEIGHT INCREASED,3,1.82391990214778
CALTRATE (CALCIUM CARBONATE) TABLET,CHOKING,8,0.81295374276002
CALTRATE 600 + D,ABDOMINAL PAIN UPPER,3,2.51887898279772
CALTRATE 600 + D CALCIUM CARBONATE CHOLECALCIFEROL TABLET,DYSPHAGIA,4,1.96305046960604
CALTRATE 600 + D CALCIUM CARBONATE CHOLECALCIFEROL TABLET,CHOKING,4,1.33743950500368
"CALTRATE 600 + D PLUS MINERAL (CALCIUM CARBONATE, MULTIMINERAL, VITAMIN D) TABLET",FOREIGN BODY,3,1.63517133659067
"CALTRATE 600 + D PLUS MINERAL (CALCIUM CARBONATE, MULTIMINERAL, VITAMIN D) TABLET",CHOKING,7,0.94094484516561
CALTRATE 600 + VITAMIN D,CHOKING,5,1.68261068603057
"CALTRATE 600 + VITAMIN D (CALCIUM CARBONATE, CHOLECALCIFEROL)",COELIAC DISEASE,3,3.7521209805649
"CALTRATE 600 + VITAMIN D (CALCIUM CARBONATE, CHOLECALCIFEROL) TABLET",COELIAC DISEASE,10,2.50258145278159
"CALTRATE 600 + VITAMIN D (CALCIUM CARBONATE, CHOLECALCIFEROL) TABLET",DYSPHAGIA,16,1.39549774609839
"CALTRATE 600 + VITAMIN D (CALCIUM CARBONATE, CHOLECALCIFEROL) TABLET",CHOKING,22,1.16428291426051
"CALTRATE 600 + VITAMIN D (CALCIUM CARBONATE, CHOLECALCIFEROL) TABLET",OSTEOPOROSIS,3,2.91561564728815
"CALTRATE 600 + VITAMIN D (CALCIUM CARBONATE, CHOLECALCIFEROL) TABLET",NEPHROLITHIASIS,4,1.37974877598981
"CALTRATE 600 + VITAMIN D (CALCIUM CARBONATE, CHOLECALCIFEROL) TABLET",CONSTIPATION,6,1.11753377411978
"CALTRATE 600 + VITAMIN D CALCIUM CARBONATE, CHOLECALCIFEROL TABLET",CHOKING,3,1.11351339909103
"CALTRATE 600 PLUS CHEWABLE (CALCIUM CARBONATE, VITAMIN D, ZINC) CHEWABLE TABLET",CHOKING,7,1.27025506044781
"CALTRATE 600 PLUS CHEWABLE (CALCIUM CARBONATE, VITAMIN D, ZINC) CHEWABLE TABLET",FOREIGN BODY,3,1.95649892030387
CALTRATE 600 PLUS CHEWABLE CALCIUM CARBONATE VITAMIN D ZINC CHEWABLE TABLET,CHOKING,4,1.67365518508004
CALTRATE 600 PLUS CHEWABLE CALCIUM CARBONATE VITAMIN D ZINC CHEWABLE TABLET,DYSPHAGIA,3,1.83154424482
CALTRATE CALCIUM CARBONATE,CHOKING,7,1.24068745333936
CALTRATE CALCIUM CARBONATE,DYSPHAGIA,4,1.04787181468253
CALTRATE PLUS CALCIUM CARBONATE VITAMIN D ZINC TABLET,FOREIGN BODY TRAUMA,3,1.66164255124554
CARDIO VITAL PLUS,DIZZINESS,3,2.01078800360653
CATALYST BOTTLE,ATRIAL FIBRILLATION,3,1.2659262706933
CELLUCOR HD,HEADACHE,3,2.41616146139564
CELLUCOR SUPER HD,MYOCARDIAL INFARCTION,3,1.58630675864797
CENTRUM,EYE HAEMORRHAGE,4,2.43731838856071
CENTRUM,PRODUCTIVE COUGH,3,2.65442647391393
CENTRUM,ALOPECIA,10,0.807153939723427
"CENTRUM (MULTIMINERALS, MULTIVITAMINS)",COELIAC DISEASE,4,2.19921885021903
"CENTRUM (MULTIMINERALS, MULTIVITAMINS) TABLET",CHOKING,23,1.48806245881485
"CENTRUM (MULTIMINERALS, MULTIVITAMINS) TABLET",COELIAC DISEASE,8,2.46638880414302
"CENTRUM (MULTIMINERALS, MULTIVITAMINS) TABLET",DIABETES MELLITUS,4,2.14705370079557
"CENTRUM (MULTIMINERALS, MULTIVITAMINS) TABLET",DYSPHAGIA,9,0.91414187459981
"CENTRUM (MULTIMINERALS, MULTIVITAMINS) UNKNOWN",CHOKING,9,1.37920550285745
CENTRUM CARDIO,DYSPHAGIA,3,1.37307236100598
"CENTRUM CARDIO (MULTIVITAMIN, MULTIMINERAL, PHYTOSTEROLS) TABLET",CHOKING,5,1.37235736059268
"CENTRUM FLAVOR BURST (MULTIMINERALS, MULTIVITAMINS) CHEWABLE TABLET",TOOTH FRACTURE,3,5.50498744292035
"CENTRUM MULTIGUMMIES (MULTIMINERALS, MULTIVITAMINS) CHEWABLE TABLET",COELIAC DISEASE,3,2.10190107182811
"CENTRUM MULTIGUMMIES(MULTIMINERALS, MULITVITAMINS) CHEWABLE TABLET",THROAT IRRITATION,3,3.44710127507702
CENTRUM MULTIMINERALS MULTIVITAMINS TABLET,FOREIGN BODY TRAUMA,5,1.52083317804704
CENTRUM MULTIMINERALS MULTIVITAMINS TABLET,DYSPHAGIA,6,1.22759235193656
CENTRUM MULTIMINERALS MULTIVITAMINS TABLET,CHOKING,8,1.0043457763512
"CENTRUM MULTIMINERALS, MULTIVITAMINS",CHOKING,4,1.67365518508004
CENTRUM MULTIVITAMIN,RHABDOMYOLYSIS,3,1.65590291583585
CENTRUM MULTIVITAMIN FOR WOMEN 50+,ALOPECIA,3,3.62481191016162
CENTRUM SILVER,PHOTOPHOBIA,3,1.37911660049492
CENTRUM SILVER,DIVERTICULITIS,5,0.957211359568081
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS)",OSTEOPOROSIS,4,3.62375456589775
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS)",COELIAC DISEASE,7,2.27411605410691
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS)",DYSURIA,3,1.92848329868947
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS)",DEATH,3,1.63596373884828
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) CHEWABLE TABLET",DYSGEUSIA,8,3.40769826742166
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) CHEWABLE TABLET",COELIAC DISEASE,4,2.10543654317156
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) CHEWABLE TABLET",CHOKING,11,1.19516956989241
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) CHEWABLE TABLET",RETCHING,3,1.46362445465219
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) CHEWABLE TABLET",DYSPHAGIA,6,0.991434752316424
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) CHEWABLE TABLET",ABDOMINAL DISCOMFORT,3,1.34864276712473
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) TABLET",DYSPHAGIA,60,1.83470384718053
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) TABLET",CHOKING,80,1.52871059274432
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) TABLET",COELIAC DISEASE,28,2.67869684591871
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) TABLET",FOREIGN BODY TRAUMA,21,1.1515053110863
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) TABLET",NEOPLASM MALIGNANT,5,1.59263348646533
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) TABLET",BLOOD IRON DECREASED,4,1.67858120247807
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) TABLET",BODY HEIGHT DECREASED,3,1.88360749418059
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) TABLET",OSTEOPOROSIS,3,1.78469409641345
"CENTRUM SILVER (MULTIMINERALS, MULTIVITAMINS) TABLET",ANAEMIA,5,1.02838410017757
CENTRUM SILVER ADULTS 50 PLUS MULTIMINERALS MULTIVITAMINS TABLET,CHOKING,4,1.26853357302177
"CENTRUM SILVER ADULTS 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",CHOKING,64,1.78130562770271
"CENTRUM SILVER ADULTS 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",DYSPHAGIA,44,1.97901340991833
"CENTRUM SILVER ADULTS 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",OESOPHAGEAL PAIN,3,2.39878457992361
"CENTRUM SILVER ADULTS 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",THROAT IRRITATION,8,1.12889528427927
"CENTRUM SILVER ADULTS 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",CONDITION AGGRAVATED,4,1.20362345414112
CENTRUM SILVER ADULTS 50+ MULTIMINERALS MULTIVITAMIN,CHOKING,22,1.67069803688705
CENTRUM SILVER ADULTS 50+ MULTIMINERALS MULTIVITAMIN,DYSPHAGIA,9,1.14742126608676
CENTRUM SILVER ADULTS 50+ MULTIMINERALS MULTIVITAMINS TABLET,CHOKING,8,1.42792305339419
CENTRUM SILVER ADULTS 50+ MULTIMINERALS MULTIVITAMINS TABLET,DYSPHAGIA,5,1.38160215344075
"CENTRUM SILVER ADULTS 50+ MULTIMINERALS, MULTIVITAMINS TABLET",DYSPHAGIA,5,1.8967885311584
CENTRUM SILVER ADULTS 50+ TABLET,DYSPHAGIA,4,1.89414792098623
"CENTRUM SILVER ADULTS 50+(MUL TIMINERALS, MULTIVITAMINS) TABLET",CHOKING,3,1.11351339909103
"CENTRUM SILVER ADULTS 50+(MULTIMINERALS, MULTIVITAMINS) TABLET",CHOKING,13,1.34079588994799
"CENTRUM SILVER ADULTS 50+(MULTIMINERALS, MULTIVITAMINS) TABLET",DYSPHAGIA,9,1.47997814738977
"CENTRUM SILVER ADULTS 50+(MULTIMINERALS, MULTIVITAMINS) TABLET",RETCHING,3,1.39194663315715
CENTRUM SILVER CHEWABLE TABLET,CHOKING,3,1.69687885921718
"CENTRUM SILVER MEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",COELIAC DISEASE,18,2.84102520808906
"CENTRUM SILVER MEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",DYSPHAGIA,26,1.56786818626854
"CENTRUM SILVER MEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",CHOKING,32,1.18818016810029
"CENTRUM SILVER MEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",FOREIGN BODY,11,1.82243302980313
"CENTRUM SILVER MEN'S 50+ (MULTIMINERALS, MULTIVITAMINS) TABLET",BLOOD DISORDER,3,1.72351652367035
CENTRUM SILVER MEN'S 50+ MULTIMINERALS MULTIVITAMINS TABLET,DYSPHAGIA,5,1.50378121441956
CENTRUM SILVER MEN'S 50+ MULTIMINERALS MULTIVITAMINS TABLET,CHOKING,5,0.87803327400965
"CENTRUM SILVER MEN'S 50+ MULTIMINERALS, MULTIVITAMINS TABLET",COELIAC DISEASE,3,2.45882329779657
"CENTRUM SILVER MEN'S 50+ MULTIMINERALS, MULTIVITAMINS TABLET",CHOKING,5,0.911064705368142
CENTRUM SILVER MENS 50 PLUS MULTIMINERALS MULTIVITAMINS TABLET,CHOKING,3,1.69687885921718
"CENTRUM SILVER MENS 50 + (MULTIMINERALS, MULTIVITAMINS) TABLET",DYSPHAGIA,3,1.43632655997714
CENTRUM SILVER MULTIMINERALS MULTIVITAMINS,CHOKING,17,1.35851973761971
CENTRUM SILVER MULTIMINERALS MULTIVITAMINS,DRUG INTERACTION,3,2.54526542519759
CENTRUM SILVER MULTIMINERALS MULTIVITAMINS,COELIAC DISEASE,4,1.71507010359953
CENTRUM SILVER MULTIMINERALS MULTIVITAMINS,DYSPHAGIA,7,0.814593945647318
CENTRUM SILVER MULTIMINERALS MULTIVITAMINS CHEWABLE TABLET,MASTICATION DISORDER,3,4.7821239601618
CENTRUM SILVER MULTIMINERALS MULTIVITAMINS TABLET,CHOKING,35,2.06566707292812
CENTRUM SILVER MULTIMINERALS MULTIVITAMINS TABLET,DYSPHAGIA,18,1.87841421784159
CENTRUM SILVER MULTIMINERALS MULTIVITAMINS TABLET,FOREIGN BODY TRAUMA,9,1.53741254754344
"CENTRUM SILVER MULTIMINERALS, MULTIVITAMIN TABLET",CHOKING,3,1.69687885921718
"CENTRUM SILVER MULTIMINERALS, MULTIVITAMINS",CHOKING,4,1.49142458125503
"CENTRUM SILVER MULTIMINERALS, MULTIVITAMINS TABLET",COELIAC DISEASE,3,2.03491717751117
"CENTRUM SILVER MULTIMINERALS, MULTIVITAMINS TABLET",CHOKING,8,1.14850678425841
"CENTRUM SILVER MULTIMINERALS, MULTIVITAMINS TABLET",DYSPHAGIA,5,1.10681169672908
CENTRUM SILVER MULTIVITAMIN MULTIMINERAL SUPPLEMENT,CEREBROVASCULAR ACCIDENT,3,2.59755954281092
"CENTRUM SILVER ULTRA MEN'S (MULTIMINERALS, MULTIVITAMINS) TABLET",CHOKING,7,1.39815781577586
